id,latitude,longitude,county,county_fips,state_id,state_name,state_fips,api_request_status
USC00208249,44.7608,-85.6442,Grand Traverse,26055,MI,Michigan,26,OK
USC00477708,44.7631,-88.6183,Shawano,55115,WI,Wisconsin,55,OK
CA008204453,44.7667,-63.8333,,,,,,OK
USW00024029,44.7694,-106.9689,Sheridan,56033,WY,Wyoming,56,OK
USS0016E05S,44.77,-116.25,Adams,16003,ID,Idaho,16,OK
USR0000VNUL,44.77,-71.7017,Essex,50009,VT,Vermont,50,OK
USC00481220,44.7742,-107.5217,Sheridan,56033,WY,Wyoming,56,OK
USC00487388,44.7764,-108.7592,Park,56029,WY,Wyoming,56,OK
BKM00014542,44.783,17.217,,,,,,OK
USR0000WBUR,44.7853,-107.5347,Sheridan,56033,WY,Wyoming,56,OK
USC00472425,44.7878,-91.5164,Eau Claire,55035,WI,Wisconsin,55,OK
USC00358095,44.7894,-122.815,Marion,41047,OR,Oregon,41,OK
USS0016E18S,44.79,-116.09,Valley,16085,ID,Idaho,16,OK
USS0012E07S,44.79,-112.06,Madison,30057,MT,Montana,30,OK
USS0011E24S,44.79,-111.71,Madison,30057,MT,Montana,30,OK
USS0007E33S,44.79,-107.53,Sheridan,56033,WY,Wyoming,56,OK
USC00272846,44.7925,-71.1633,Coos,33007,NH,New Hampshire,33,OK
USC00174927,44.7975,-69.8889,Somerset,23025,ME,Maine,23,OK
USW00014606,44.7978,-68.8186,Penobscot,23019,ME,Maine,23,OK
USS0009E08S,44.8,-109.66,Park,56029,WY,Wyoming,56,OK
USS0007E21S,44.8,-107.84,Big Horn,56003,WY,Wyoming,56,OK
RIE00100818,44.8,20.4667,,,,,,OK
RSM00037061,44.8,44.1,,,,,,OK
USR0000MBRR,44.8019,-86.0508,Leelanau,26089,MI,Michigan,26,OK
USS0007E39S,44.81,-107.41,Sheridan,56033,WY,Wyoming,56,OK
USC00434120,44.8128,-71.8903,Essex,50009,VT,Vermont,50,OK
USC00213311,44.8136,-95.5517,Yellow Medicine,27173,MN,Minnesota,27,OK
USR0000OFLA,44.8142,-117.7289,Baker,41001,OR,Oregon,41,OK
CA008200558,44.8167,-62.3333,,,,,,OK
USC00355711,44.8186,-119.42,Grant,41023,OR,Oregon,41,OK
USC00350197,44.8197,-120.7533,Jefferson,41031,OR,Oregon,41,OK
USS0018E05S,44.83,-118.19,Baker,41001,OR,Oregon,41,OK
FR000007510,44.8306,0.6914,,,,,,OK
USW00094963,44.8322,-93.4706,Hennepin,27053,MN,Minnesota,27,OK
KZ000036821,44.833,76.267,,,,,,OK
USC00352800,44.8358,-123.4525,Polk,41053,OR,Oregon,41,OK
USC00485770,44.8378,-108.4039,Big Horn,56003,WY,Wyoming,56,OK
USS0014E04S,44.84,-114.27,Lemhi,16059,ID,Idaho,16,OK
USC00488160,44.8406,-106.8383,Sheridan,56033,WY,Wyoming,56,OK
USC00485686,44.8414,-105.3703,Campbell,56005,WY,Wyoming,56,OK
USC00304996,44.8417,-74.3061,Franklin,36033,NY,New York,36,OK
USW00024130,44.8428,-117.8086,Baker,41001,OR,Oregon,41,OK
USR0000IEZR,44.8464,-114.0264,Lemhi,16059,ID,Idaho,16,OK
USR0000IWEI,44.8475,-116.4267,Adams,16003,ID,Idaho,16,OK
USC00211448,44.8497,-93.5644,Carver,27019,MN,Minnesota,27,OK
USS0013E16S,44.85,-113.84,Lemhi,16059,ID,Idaho,16,OK
USC00485506,44.85,-106.2889,Sheridan,56033,WY,Wyoming,56,OK
KZ000038062,44.85,65.5,,,,,,OK
USR0000WCRA,44.8503,-109.6114,Park,56029,WY,Wyoming,56,OK
USC00477226,44.8544,-92.6122,Pierce,55093,WI,Wisconsin,55,OK
USC00205097,44.855,-85.8353,Leelanau,26089,MI,Michigan,26,OK
USC00271647,44.8611,-71.5392,Coos,33007,NH,New Hampshire,33,OK
USC00395325,44.8656,-102.5658,Meade,46093,SD,South Dakota,46,OK
USC00392446,44.8658,-101.4672,Ziebach,46137,SD,South Dakota,46,OK
USW00014991,44.8664,-91.4878,Chippewa,55017,WI,Wisconsin,55,OK
USC00244038,44.8667,-111.3392,Gallatin,30031,MT,Montana,30,OK
USC00398931,44.8697,-97.1156,Codington,46029,SD,South Dakota,46,OK
USS0018E03S,44.87,-118.11,Baker,41001,OR,Oregon,41,OK
USC00478190,44.87,-88.9044,Shawano,55115,WI,Wisconsin,55,OK
USC00357809,44.8728,-122.6486,Marion,41047,OR,Oregon,41,OK
USC00475335,44.8742,-91.9364,Dunn,55033,WI,Wisconsin,55,OK
USC00482399,44.8767,-107.2631,Sheridan,56033,WY,Wyoming,56,OK
USC00353604,44.8772,-117.1094,Baker,41001,OR,Oregon,41,OK
USC00478267,44.88,-87.3358,Door,55029,WI,Wisconsin,55,OK
USC00391740,44.8819,-97.7342,Clark,46025,SD,South Dakota,46,OK
USC00204756,44.8822,-84.3653,Montmorency,26119,MI,Michigan,26,OK
KZ000038051,44.883,63.167,,,,,,OK
USW00014922,44.8831,-93.2289,Hennepin,27053,MN,Minnesota,27,OK
USC00206012,44.8831,-85.6753,Leelanau,26089,MI,Michigan,26,OK
CA008202251,44.8833,-63.5167,,,,,,OK
USC00105708,44.8872,-116.1047,Valley,16085,ID,Idaho,16,OK
USW00094182,44.8889,-116.1017,Valley,16085,ID,Idaho,16,OK
USC00482415,44.8919,-108.5928,Big Horn,56003,WY,Wyoming,56,OK
USC00476208,44.8919,-87.955,Oconto,55083,WI,Wisconsin,55,OK
USC00485355,44.8956,-110.2342,Park,56029,WY,Wyoming,56,OK
RSM00037001,44.9,37.3,,,,,,OK
MGM00044354,44.9,110.117,,,,,,OK
USR0000ITEA,44.9044,-115.7375,Valley,16085,ID,Idaho,16,OK
USW00014946,44.9047,-97.1494,Codington,46029,SD,South Dakota,46,OK
USW00024232,44.905,-123.0011,Marion,41047,OR,Oregon,41,OK
USC00203099,44.9072,-84.7189,Otsego,26137,MI,Michigan,26,OK
USW00054854,44.9081,-84.7203,Otsego,26137,MI,Michigan,26,OK
USR0000OSPA,44.9083,-117.375,Baker,41001,OR,Oregon,41,OK
USC00432773,44.9097,-72.8136,Franklin,50011,VT,Vermont,50,OK
USC00302574,44.9131,-73.8222,Clinton,36019,NY,New York,36,OK
USC00489025,44.9167,-110.4203,Park,56029,WY,Wyoming,56,OK
USC00171628,44.9197,-69.2417,Penobscot,23019,ME,Maine,23,OK
USC00206158,44.9214,-85.5161,Grand Traverse,26055,MI,Michigan,26,OK
USR0000ORCK,44.925,-123.4694,Polk,41053,OR,Oregon,41,OK
USR0000OMUT,44.9258,-121.1944,Wasco,41065,OR,Oregon,41,OK
USW00014897,44.9258,-89.6256,Marathon,55073,WI,Wisconsin,55,OK
USW00094644,44.9281,-68.7006,Penobscot,23019,ME,Maine,23,OK
USW00014927,44.9319,-93.0556,Ramsey,27123,MN,Minnesota,27,OK
JA000047402,44.933,142.583,,,,,,OK
USW00094725,44.9358,-74.8458,St. Lawrence,36089,NY,New York,36,OK
USC00481775,44.9364,-109.1372,Park,56029,WY,Wyoming,56,OK
USS0009E10S,44.94,-109.57,Park,56029,WY,Wyoming,56,OK
USR0000OHOR,44.9406,-122.4003,Clackamas,41005,OR,Oregon,41,OK
USR0000ISKI,44.9436,-116.1878,Adams,16003,ID,Idaho,16,OK
USC00476357,44.9461,-90.5517,Clark,55019,WI,Wisconsin,55,OK
USC00352112,44.9464,-123.2911,Polk,41053,OR,Oregon,41,OK
USC00173567,44.9467,-69.5456,Somerset,23025,ME,Maine,23,OK
USC00435542,44.9489,-72.1911,Orleans,50019,VT,Vermont,50,OK
USS0016E11S,44.95,-116.14,Adams,16003,ID,Idaho,16,OK
USS0011E38S,44.95,-111.36,Gallatin,30031,MT,Montana,30,OK
USS0011E29S,44.96,-111.29,Gallatin,30031,MT,Montana,30,OK
USC00109950,44.9628,-115.4961,Valley,16085,ID,Idaho,16,OK
USC00470486,44.9633,-92.3906,St. Croix,55109,WI,Wisconsin,55,OK
USR0000OHEH,44.9661,-121.4908,Wasco,41065,OR,Oregon,41,OK
USR0000MBRE,44.9667,-113.2167,Beaverhead,30001,MT,Montana,30,OK
USC00177037,44.9675,-70.6422,Franklin,23007,ME,Maine,23,OK
USR0000OCAS,44.9711,-118.9297,Grant,41023,OR,Oregon,41,OK
USC00106388,44.9714,-116.2933,Adams,16003,ID,Idaho,16,OK
USC00396969,44.9733,-97.1494,Codington,46029,SD,South Dakota,46,OK
USC00489905,44.9767,-110.6964,Park,56029,WY,Wyoming,56,OK
USC00214884,44.9783,-93.2469,Hennepin,27053,MN,Minnesota,27,OK
USS0011E39S,44.98,-111.95,Madison,30057,MT,Montana,30,OK
RSM00037031,44.9831,41.1167,,,,,,OK
CA008202000,44.9833,-64.9167,,,,,,OK
CA008203405,44.9833,-62.4833,,,,,,OK
USC00177039,44.9892,-70.6722,Franklin,23007,ME,Maine,23,OK
USS0013E23S,44.99,-113.44,Beaverhead,30001,MT,Montana,30,OK
USC00218450,44.9903,-93.18,Ramsey,27123,MN,Minnesota,27,OK
USC00390565,44.9906,-103.9339,Butte,46019,SD,South Dakota,46,OK
USC00478376,44.9958,-88.3786,Oconto,55083,WI,Wisconsin,55,OK
USC00353038,44.9983,-120.2175,Wheeler,41069,OR,Oregon,41,OK
USS0017D08S,45.0,-117.17,Baker,41001,OR,Oregon,41,OK
CA006104027,45.0,-75.6333,,,,,,OK
RSM00031909,45.0,136.6,,,,,,OK
USC00214994,45.0022,-96.1661,Lac Qui Parle,27073,MN,Minnesota,27,OK
USC00200342,45.0047,-84.1406,Montmorency,26119,MI,Michigan,26,OK
USC00357823,45.0058,-122.7739,Marion,41047,OR,Oregon,41,OK
USC00430193,45.0058,-71.6903,Essex,50009,VT,Vermont,50,OK
USS0010D07S,45.01,-110.01,Park,30067,MT,Montana,30,OK
USC00215838,45.01,-93.3792,Hennepin,27053,MN,Minnesota,27,OK
USW00004854,45.0133,-84.7014,Otsego,26137,MI,Michigan,26,OK
USC00247603,45.0156,-109.9683,Park,30067,MT,Montana,30,OK
CA006101874,45.0167,-74.75,,,,,,OK
USS0011D08S,45.02,-111.85,Madison,30057,MT,Montana,30,OK
USR0000OREB,45.0275,-121.9211,Clackamas,41005,OR,Oregon,41,OK
USC00476510,45.0281,-87.7358,Marinette,55075,WI,Wisconsin,55,OK
USR0000OMTW,45.03,-121.6278,Wasco,41065,OR,Oregon,41,OK
USC00243378,45.0317,-110.7036,Park,30067,MT,Montana,30,OK
USW00094056,45.0319,-102.0192,Meade,46093,SD,South Dakota,46,OK
ITM00016061,45.033,7.733,,,,,,OK
USC00356366,45.0333,-123.9239,Lincoln,41041,OR,Oregon,41,OK
USC00203096,45.0333,-84.7114,Otsego,26137,MI,Michigan,26,OK
CA006119M51,45.0333,-80.3667,,,,,,OK
CA006163171,45.0333,-78.5333,,,,,,OK
CA006102J13,45.0333,-76.25,,,,,,OK
USC00392927,45.0364,-99.1342,Faulk,46049,SD,South Dakota,46,OK
USR0000ONPR,45.0375,-120.5306,Wasco,41065,OR,Oregon,41,OK
USS0021D14S,45.04,-121.93,Clackamas,41005,OR,Oregon,41,OK
USS0016D09S,45.04,-116.13,Adams,16003,ID,Idaho,16,OK
USC00212023,45.0419,-94.2781,Meeker,27093,MN,Minnesota,27,OK
USC00240743,45.0428,-105.48,Powder River,30075,MT,Montana,30,OK
USC00218039,45.0456,-92.8522,Washington,27163,MN,Minnesota,27,OK
USC00392429,45.0469,-101.6022,Ziebach,46137,SD,South Dakota,46,OK
USC00212088,45.0469,-93.7772,Wright,27171,MN,Minnesota,27,OK
USC00218477,45.0483,-93.0958,Ramsey,27123,MN,Minnesota,27,OK
USS0009D08S,45.05,-109.91,Park,30067,MT,Montana,30,OK
USC00398420,45.05,-98.0956,Spink,46115,SD,South Dakota,46,OK
CA006105762,45.05,-76.7833,,,,,,OK
CA007022579,45.05,-72.8667,,,,,,OK
CA008206222,45.05,-64.65,,,,,,OK
RSM00034949,45.05,42.02,,,,,,OK
USR0000MBRA,45.0553,-105.9483,Powder River,30075,MT,Montana,30,OK
USR0000SBEA,45.0572,-101.4767,Dewey,46041,SD,South Dakota,46,OK
USS0009D06S,45.06,-109.94,Park,30067,MT,Montana,30,OK
USW00014814,45.0606,-83.4281,Alpena,26007,MI,Michigan,26,OK
USW00094960,45.0619,-93.3508,Hennepin,27053,MN,Minnesota,27,OK
