id,latitude,longitude,county,county_fips,state_id,state_name,state_fips,api_request_status
USR0000OBUE,43.0361,-122.6553,Douglas,41019,OR,Oregon,41,OK
USC00202851,43.0378,-83.7694,Genesee,26049,MI,Michigan,26,OK
USC00470273,43.0411,-89.4286,Dane,55025,WI,Wisconsin,55,OK
USC00307484,43.0411,-73.8211,Saratoga,36091,NY,New York,36,OK
USC00103297,43.0425,-112.4144,Bingham,16011,ID,Idaho,16,OK
USC00391579,43.0428,-96.9033,Clay,46027,SD,South Dakota,46,OK
USC00135952,43.0453,-92.3122,Chickasaw,19037,IA,Iowa,19,OK
USR0000IGRL,43.0497,-111.3794,Bonneville,16019,ID,Idaho,16,OK
CA006137161,43.05,-79.3333,,,,,,OK
USC00476827,43.0514,-91.135,Crawford,55023,WI,Wisconsin,55,OK
USC00107673,43.0517,-114.155,Lincoln,16063,ID,Idaho,16,OK
USC00471062,43.0522,-88.1775,Waukesha,55133,WI,Wisconsin,55,OK
USC00137700,43.0558,-96.1525,Sioux,19167,IA,Iowa,19,OK
USC00306047,43.0572,-78.8617,Niagara,36063,NY,New York,36,OK
USC00204659,43.0581,-83.3606,Lapeer,26087,MI,Michigan,26,OK
USC00131402,43.0603,-92.6717,Floyd,19067,IA,Iowa,19,OK
USC00203295,43.0608,-86.2047,Ottawa,26139,MI,Michigan,26,OK
USC00204655,43.0608,-83.3075,Lapeer,26087,MI,Michigan,26,OK
USW00024061,43.0661,-108.4767,Fremont,56013,WY,Wyoming,56,OK
USC00130133,43.0664,-94.2222,Kossuth,19109,IA,Iowa,19,OK
JA000047412,43.067,141.333,,,,,,OK
USC00201150,43.0675,-83.5919,Genesee,26049,MI,Michigan,26,OK
FRE00171640,43.0792,5.9406,,,,,,OK
USC00474482,43.0803,-88.8967,Jefferson,55055,WI,Wisconsin,55,OK
FRM00007661,43.083,5.933,,,,,,OK
UZM00038149,43.083,58.933,,,,,,OK
USC00136800,43.0864,-95.6292,O'Brien,19141,IA,Iowa,19,OK
USC00136766,43.09,-91.5581,Allamakee,19005,IA,Iowa,19,OK
USC00278973,43.0989,-71.7572,Hillsborough,33011,NH,New Hampshire,33,OK
USR0000WDDG,43.1,-90.0,Iowa,55049,WI,Wisconsin,55,OK
USC00476200,43.1003,-88.5036,Waukesha,55133,WI,Wisconsin,55,OK
USR0000ORID,43.1006,-118.4981,Harney,41025,OR,Oregon,41,OK
USC00132689,43.1025,-94.6833,Palo Alto,19147,IA,Iowa,19,OK
USC00130923,43.1056,-93.7444,Hancock,19081,IA,Iowa,19,OK
USW00004724,43.1072,-78.9453,Niagara,36063,NY,New York,36,OK
USW00054795,43.1092,-70.9483,Strafford,33017,NH,New Hampshire,33,OK
USS0009F21S,43.11,-109.95,Sublette,56035,WY,Wyoming,56,OK
USW00014771,43.1111,-76.1039,Onondaga,36067,NY,New York,36,OK
USC00395638,43.1122,-100.6111,Todd,46121,SD,South Dakota,46,OK
USC00303322,43.115,-74.4236,Fulton,36035,NY,New York,36,OK
SPE00120260,43.1153,-7.4558,,,,,,OK
USW00014768,43.1167,-77.6767,Monroe,36055,NY,New York,36,OK
RSM00031960,43.1167,131.933,,,,,,OK
USC00357736,43.1211,-117.0392,Malheur,41045,OR,Oregon,41,OK
USC00357817,43.1247,-121.0617,Lake,41037,OR,Oregon,41,OK
USS0010F17S,43.13,-110.2,Sublette,56035,WY,Wyoming,56,OK
CA006149625,43.1333,-80.7667,,,,,,OK
USC00478164,43.1342,-90.8372,Crawford,55023,WI,Wisconsin,55,OK
USW00014837,43.1406,-89.3453,Dane,55025,WI,Wisconsin,55,OK
USC00272174,43.1433,-70.95,Strafford,33017,NH,New Hampshire,33,OK
USC00209188,43.1447,-82.8011,St. Clair,26147,MI,Michigan,26,OK
USC00350471,43.15,-124.4006,Coos,41011,OR,Oregon,41,OK
MJE00175548,43.15,19.13,,,,,,OK
UZM00038178,43.15,64.333,,,,,,OK
RSM00031987,43.15,133.017,,,,,,OK
USW00014940,43.1544,-93.3269,Cerro Gordo,19033,IA,Iowa,19,OK
USW00094994,43.1561,-90.6775,Grant,55043,WI,Wisconsin,55,OK
USC00135230,43.1631,-93.1953,Cerro Gordo,19033,IA,Iowa,19,OK
USW00014972,43.1644,-95.2017,Clay,19041,IA,Iowa,19,OK
USC00137844,43.1653,-95.1467,Clay,19041,IA,Iowa,19,OK
CA006153193,43.1667,-79.9333,,,,,,OK
USS0010F16S,43.17,-110.14,Sublette,56035,WY,Wyoming,56,OK
USC00475189,43.1706,-89.8197,Dane,55025,WI,Wisconsin,55,OK
USW00014840,43.1711,-86.2367,Muskegon,26121,MI,Michigan,26,OK
USC00395285,43.1717,-101.5692,Bennett,46007,SD,South Dakota,46,OK
USW00054794,43.1717,-70.9278,Strafford,33017,NH,New Hampshire,33,OK
USC00478919,43.1742,-88.7364,Jefferson,55055,WI,Wisconsin,55,OK
USR0000IDER,43.1744,-115.1517,Elmore,16039,ID,Idaho,16,OK
FRM00007621,43.179,-0.006,,,,,,OK
USC00137386,43.1792,-95.6603,O'Brien,19141,IA,Iowa,19,OK
USC00485374,43.1828,-104.6036,Niobrara,56027,WY,Wyoming,56,OK
CHM00054157,43.183,124.333,,,,,,OK
JA000047411,43.183,141.017,,,,,,OK
CA006133055,43.1833,-79.5667,,,,,,OK
CA006139148,43.1833,-79.4,,,,,,OK
USC00351836,43.1872,-124.2025,Coos,41011,OR,Oregon,41,OK
USC00396212,43.1878,-103.2372,Fall River,46047,SD,South Dakota,46,OK
USC00304844,43.1878,-78.6092,Niagara,36063,NY,New York,36,OK
USC00478910,43.1881,-88.985,Jefferson,55055,WI,Wisconsin,55,OK
FRE00104116,43.1881,0.0,,,,,,OK
USC00274218,43.1889,-71.7461,Merrimack,33013,NH,New Hampshire,33,OK
USS0022F18S,43.19,-122.14,Douglas,41019,OR,Oregon,41,OK
USC00100915,43.1917,-112.3453,Bingham,16011,ID,Idaho,16,OK
USW00014745,43.1953,-71.5011,Merrimack,33013,NH,New Hampshire,33,OK
USC00204320,43.1994,-85.7717,Kent,26081,MI,Michigan,26,OK
USC00203429,43.2025,-85.2422,Montcalm,26117,MI,Michigan,26,OK
USW00004127,43.2044,-116.7506,Owyhee,16073,ID,Idaho,16,OK
USC00480865,43.2094,-110.4033,Sublette,56035,WY,Wyoming,56,OK
USS0011F11S,43.21,-111.69,Bingham,16011,ID,Idaho,16,OK
USC00477148,43.2111,-88.2092,Washington,55131,WI,Wisconsin,55,OK
USC00474937,43.2117,-91.0986,Crawford,55023,WI,Wisconsin,55,OK
USW00014921,43.2119,-90.1814,Sauk,55111,WI,Wisconsin,55,OK
USC00300937,43.2161,-77.9528,Monroe,36055,NY,New York,36,OK
JA000047413,43.217,141.783,,,,,,OK
USC00171131,43.2242,-70.6389,York,23031,ME,Maine,23,OK
USR0000IPOB,43.2261,-113.5744,Blaine,16013,ID,Idaho,16,OK
USS0022F45S,43.23,-122.43,Douglas,41019,OR,Oregon,41,OK
USS0021F22S,43.23,-121.81,Klamath,41035,OR,Oregon,41,OK
BUM00015552,43.232,27.825,,,,,,OK
KZ000036870,43.2331,76.9331,,,,,,OK
USC00482595,43.2336,-108.9133,Fremont,56013,WY,Wyoming,56,OK
USW00064775,43.2339,-75.4117,Oneida,36065,NY,New York,36,OK
USC00393452,43.2356,-99.4342,Gregory,46053,SD,South Dakota,46,OK
USC00395481,43.2358,-97.5714,Hutchinson,46067,SD,South Dakota,46,OK
USC00307842,43.2358,-77.0842,Wayne,36117,NY,New York,36,OK
USC00488209,43.2372,-108.1097,Fremont,56013,WY,Wyoming,56,OK
USC00300870,43.2386,-76.1964,Onondaga,36067,NY,New York,36,OK
USW00024231,43.2389,-123.3547,Douglas,41019,OR,Oregon,41,OK
USC00473058,43.2389,-88.1222,Washington,55131,WI,Wisconsin,55,OK
USR0000OTOK,43.2397,-122.4,Douglas,41019,OR,Oregon,41,OK
USC00309049,43.2419,-77.3883,Monroe,36055,NY,New York,36,OK
USR0000OTIM,43.2433,-121.3583,Klamath,41035,OR,Oregon,41,OK
USC00108928,43.2436,-116.3783,Ada,16001,ID,Idaho,16,OK
USC00487555,43.245,-104.2881,Niobrara,56027,WY,Wyoming,56,OK
USC00487115,43.2458,-108.6942,Fremont,56013,WY,Wyoming,56,OK
USS0010F15S,43.25,-110.02,Sublette,56035,WY,Wyoming,56,OK
CA006136699,43.25,-79.2167,,,,,,OK
USC00309690,43.25,-79.0092,Niagara,36063,NY,New York,36,OK
USC00270913,43.2589,-72.0022,Merrimack,33013,NH,New Hampshire,33,OK
USC00477576,43.2619,-89.735,Sauk,55111,WI,Wisconsin,55,OK
USC00436335,43.2628,-72.9056,Bennington,50003,VT,Vermont,50,OK
USC00204808,43.2631,-82.5328,Sanilac,26151,MI,Michigan,26,OK
USC00300055,43.2633,-78.2153,Orleans,36073,NY,New York,36,OK
USC00358420,43.2644,-120.9447,Lake,41037,OR,Oregon,41,OK
USC00355162,43.265,-118.8447,Harney,41025,OR,Oregon,41,OK
USS0015F09S,43.27,-115.35,Elmore,16039,ID,Idaho,16,OK
KZ000038198,43.27,68.22,,,,,,OK
USW00004141,43.2717,-124.3186,Coos,41011,OR,Oregon,41,OK
USC00358536,43.275,-122.4497,Douglas,41019,OR,Oregon,41,OK
USC00308578,43.2761,-75.1567,Oneida,36065,NY,New York,36,OK
USW00054791,43.2781,-70.9222,Strafford,33017,NH,New Hampshire,33,OK
USC00136305,43.2794,-92.8106,Mitchell,19131,IA,Iowa,19,OK
USS0009F25S,43.28,-109.45,Fremont,56013,WY,Wyoming,56,OK
USC00359461,43.2828,-123.3536,Douglas,41019,OR,Oregon,41,OK
USC00132977,43.2844,-93.6306,Winnebago,19189,IA,Iowa,19,OK
USS0016F08S,43.29,-116.85,Owyhee,16073,ID,Idaho,16,OK
USR0000SPIN,43.29,-102.2711,Shannon,46113,SD,South Dakota,46,OK
SPE00120611,43.2981,-2.9056,,,,,,OK
CA006153301,43.3,-79.9167,,,,,,OK
CA006151061,43.3,-79.8,,,,,,OK
USC00132110,43.3042,-91.7953,Winneshiek,19191,IA,Iowa,19,OK
USC00470308,43.3042,-89.3453,Columbia,55021,WI,Wisconsin,55,OK
USC00303087,43.305,-76.3939,Oswego,36075,NY,New York,36,OK
SPE00119720,43.3067,-8.3719,,,,,,OK
SP000008027,43.3075,-2.0392,,,,,,OK
USC00473198,43.3081,-87.9553,Ozaukee,55089,WI,Wisconsin,55,OK
USC00107040,43.3086,-114.0667,Blaine,16013,ID,Idaho,16,OK
USC00391392,43.3111,-96.5878,Lincoln,46083,SD,South Dakota,46,OK
USC00392557,43.3136,-103.8214,Fall River,46047,SD,South Dakota,46,OK
USC00473022,43.3144,-90.8486,Crawford,55023,WI,Wisconsin,55,OK
KZ000036897,43.317,78.25,,,,,,OK
USR0000SMAG,43.3181,-101.1444,Todd,46121,SD,South Dakota,46,OK
USC00473930,43.3194,-88.1681,Washington,55131,WI,Wisconsin,55,OK
USC00202955,43.3194,-83.7161,Saginaw,26145,MI,Michigan,26,OK
USC00301708,43.3203,-73.9256,Saratoga,36091,NY,New York,36,OK
USR0000OCIN,43.3208,-122.1067,Douglas,41019,OR,Oregon,41,OK
USC00474790,43.3217,-89.5311,Columbia,55021,WI,Wisconsin,55,OK
USC00301110,43.3306,-75.8417,Oneida,36065,NY,New York,36,OK
USC00473453,43.3317,-88.4117,Washington,55131,WI,Wisconsin,55,OK
JA000047420,43.333,145.583,,,,,,OK
