id,latitude,longitude,county,county_fips,state_id,state_name,state_fips,api_request_status
USC00456789,46.7603,-117.1861,Whitman,53075,WA,Washington,53,OK
SBM00071805,46.763,-56.176,,,,,,OK
USW00054937,46.7703,-99.4778,Kidder,38043,ND,North Dakota,38,OK
USW00024011,46.7708,-100.7603,Burleigh,38015,ND,North Dakota,38,OK
USC00320818,46.7717,-100.7592,Burleigh,38015,ND,North Dakota,38,OK
USC00217228,46.7764,-96.6561,Clay,27027,MN,Minnesota,27,OK
USR0000MPIN,46.7769,-104.5797,Wibaux,30109,MT,Montana,30,OK
USC00474953,46.7781,-90.7653,Ashland,55003,WI,Wisconsin,55,OK
KZ000035746,46.7794,61.6694,,,,,,OK
USS0021C35S,46.78,-121.75,Lewis,53041,WA,Washington,53,OK
USS0010C06S,46.78,-110.62,Judith Basin,30045,MT,Montana,30,OK
USC00102892,46.7822,-116.1797,Clearwater,16035,ID,Idaho,16,OK
CHM00051156,46.783,85.717,,,,,,OK
ROE00100902,46.7831,23.5667,,,,,,OK
CA00701Q004,46.7833,-71.2833,,,,,,OK
USC00456898,46.7858,-121.7425,Pierce,53053,WA,Washington,53,OK
USC00470604,46.7872,-90.8642,Bayfield,55007,WI,Wisconsin,55,OK
USS0010C09S,46.79,-110.68,Meagher,30059,MT,Montana,30,OK
USS0009C01S,46.79,-109.51,Fergus,30027,MT,Montana,30,OK
USC00248165,46.7939,-105.3022,Prairie,30079,MT,Montana,30,OK
USC00217460,46.7953,-93.3211,Aitkin,27001,MN,Minnesota,27,OK
USW00024012,46.7994,-102.7972,Stark,38089,ND,North Dakota,38,OK
CA00701S001,46.8,-71.3833,,,,,,OK
RSM00034727,46.8,38.267,,,,,,OK
KZ000035796,46.8,75.0831,,,,,,OK
RSM00031832,46.8,134.267,,,,,,OK
USS0021C38S,46.81,-121.33,Yakima,53077,WA,Washington,53,OK
USS0016C02S,46.81,-116.85,Latah,16057,ID,Idaho,16,OK
USC00325479,46.8128,-100.9097,Morton,38059,ND,North Dakota,38,OK
USC00454338,46.8167,-117.8831,Whitman,53075,WA,Washington,53,OK
CA007077571,46.8167,-74.1,,,,,,OK
CA007017000,46.8167,-71.9167,,,,,,OK
CA007024254,46.8167,-71.1,,,,,,OK
CA008204161,46.8167,-60.6667,,,,,,OK
SZE00116090,46.8167,6.95,,,,,,OK
USC00200497,46.8208,-88.6064,Baraga,26013,MI,Michigan,26,OK
USC00243013,46.8217,-108.3725,Petroleum,30069,MT,Montana,30,OK
USC00322860,46.8292,-96.7961,Cass,38017,ND,North Dakota,38,OK
USC00200770,46.8325,-87.7503,Marquette,26103,MI,Michigan,26,OK
MGM00044275,46.833,98.083,,,,,,OK
CA007010565,46.8333,-71.2,,,,,,OK
USR0000MPPH,46.8353,-110.7175,Meagher,30059,MT,Montana,30,OK
USC00212250,46.8367,-92.2108,St. Louis,27137,MN,Minnesota,27,OK
USW00014913,46.8369,-92.2097,St. Louis,27137,MN,Minnesota,27,OK
USC00212142,46.8372,-95.8375,Becker,27005,MN,Minnesota,27,OK
USS0016C20S,46.84,-116.12,Clearwater,16035,ID,Idaho,16,OK
USS0012C22S,46.84,-112.51,Lewis and Clark,30049,MT,Montana,30,OK
