id,latitude,longitude,county,county_fips,state_id,state_name,state_fips,api_request_status
SPE00120476,28.0475,-16.5606,,,,,,OK
AG000060611,28.05,9.6331,,,,,,OK
USC00085603,28.0547,-80.5511,Brevard,12009,FL,Florida,12,OK
USW00012876,28.0622,-81.7542,Polk,12105,FL,Florida,12,OK
EGM00062387,28.083,30.733,,,,,,OK
USW00012972,28.0836,-97.0464,Aransas,48007,TX,Texas,48,OK
IN002050100,28.1,95.383,,,,,,OK
USW00012838,28.1011,-80.6439,Brevard,12009,FL,Florida,12,OK
USC00419559,28.1136,-97.4178,San Patricio,48409,TX,Texas,48,OK
USC00085612,28.1136,-80.6539,Brevard,12009,FL,Florida,12,OK
USC00088824,28.1522,-82.7539,Pinellas,12103,FL,Florida,12,OK
CHM00057687,28.233,112.867,,,,,,OK
USR0000TARA,28.25,-96.75,Calhoun,48057,TX,Texas,48,OK
IN019100500,28.25,74.917,,,,,,OK
USC00084625,28.2764,-81.4239,Osceola,12097,FL,Florida,12,OK
PKM00041715,28.284,68.45,,,,,,OK
USW00023906,28.3044,-96.8231,Aransas,48007,TX,Texas,48,OK
SP000060010,28.3089,-16.4992,,,,,,OK
SAM00040373,28.335,46.125,,,,,,OK
USC00087851,28.3378,-82.26,Pasco,12101,FL,Florida,12,OK
SAM00040375,28.365,36.619,,,,,,OK
USR0000TGEO,28.3667,-98.1167,Live Oak,48297,TX,Texas,48,OK
IN023101700,28.367,79.4,,,,,,OK
JA000047909,28.383,129.5,,,,,,OK
USC00410436,28.3889,-96.8389,Refugio,48391,TX,Texas,48,OK
USW00012815,28.4339,-81.325,Orange,12095,FL,Florida,12,OK
SPE00120197,28.4444,-13.8631,,,,,,OK
CHM00056444,28.45,98.883,,,,,,OK
CHM00058666,28.45,121.883,,,,,,OK
USC00081641,28.4558,-81.7233,Lake,12069,FL,Florida,12,OK
USW00012947,28.4567,-99.2183,La Salle,48283,TX,Texas,48,OK
USC00410639,28.4575,-97.7061,Bee,48025,TX,Texas,48,OK
SPE00120458,28.4631,-16.2553,,,,,,OK
USC00411337,28.4658,-98.3539,McMullen,48311,TX,Texas,48,OK
USC00411720,28.4675,-98.2525,Live Oak,48297,TX,Texas,48,OK
USW00012818,28.4736,-82.4544,Hernando,12053,FL,Florida,12,OK
SPE00120467,28.4775,-16.3292,,,,,,OK
USC00411486,28.4894,-99.8733,Dimmit,48127,TX,Texas,48,OK
USC00086634,28.5083,-81.5467,Orange,12095,FL,Florida,12,OK
USW00012841,28.5453,-81.3331,Orange,12095,FL,Florida,12,OK
IN022023000,28.567,77.117,,,,,,OK
IN022021900,28.583,77.2,,,,,,OK
USC00412125,28.5978,-98.5547,McMullen,48311,TX,Texas,48,OK
CHM00058606,28.6,115.917,,,,,,OK
USW00092821,28.6158,-80.6928,Brevard,12009,FL,Florida,12,OK
USC00088942,28.6242,-80.8169,Brevard,12009,FL,Florida,12,OK
SPE00120449,28.6331,-17.755,,,,,,OK
MXM00076225,28.6333,-106.0833,,,,,,OK
USR0000FMER,28.6408,-80.7308,Brevard,12009,FL,Florida,12,OK
PKM00041718,28.65,70.683,,,,,,OK
USC00417140,28.6575,-96.5553,Calhoun,48057,TX,Texas,48,OK
USC00081163,28.6664,-82.0894,Sumter,12119,FL,Florida,12,OK
MXM00076243,28.7,-100.5167,,,,,,OK
USC00411880,28.7156,-97.1742,Goliad,48175,TX,Texas,48,OK
USW00012935,28.7247,-96.2536,Matagorda,48321,TX,Texas,48,OK
USC00088051,28.73,-80.8794,Brevard,12009,FL,Florida,12,OK
USW00012854,28.7797,-81.2436,Seminole,12117,FL,Florida,12,OK
USC00087228,28.7992,-81.5372,Lake,12069,FL,Florida,12,OK
CHM00056492,28.8,104.6,,,,,,OK
USC00084289,28.8028,-82.3128,Citrus,12017,FL,Florida,12,OK
USC00087982,28.8147,-81.2778,Seminole,12117,FL,Florida,12,OK
PKM00041710,28.817,62.75,,,,,,OK
USW00012819,28.8208,-81.8097,Lake,12069,FL,Florida,12,OK
CHM00057633,28.833,108.767,,,,,,OK
USC00419367,28.8439,-96.9214,Victoria,48469,TX,Texas,48,OK
USR0000TVIC,28.8461,-96.9217,Victoria,48469,TX,Texas,48,OK
USC00419361,28.8608,-97.0181,Victoria,48469,TX,Texas,48,OK
USW00012912,28.8614,-96.9303,Victoria,48469,TX,Texas,48,OK
USR0000TSAB,28.8647,-95.5678,Brazoria,48039,TX,Texas,48,OK
USC00085076,28.8728,-81.7844,Lake,12069,FL,Florida,12,OK
PK000041712,28.883,64.4,,,,,,OK
IRM00040858,28.945,50.835,,,,,,OK
MXM00076220,28.95,-107.817,,,,,,OK
MXM00076840,28.95,-107.8167,,,,,,OK
SP000060040,28.9517,-13.6003,,,,,,OK
USC00417111,28.9606,-98.4772,Atascosa,48013,TX,Texas,48,OK
CHM00058633,28.967,118.867,,,,,,OK
USC00410569,28.9797,-95.975,Matagorda,48321,TX,Texas,48,OK
USC00413340,28.9844,-95.3808,Brazoria,48039,TX,Texas,48,OK
CHM00056462,29.0,101.5,,,,,,OK
USC00082229,29.0097,-81.2981,Volusia,12127,FL,Florida,12,OK
USC00417215,29.0281,-98.5686,Atascosa,48013,TX,Texas,48,OK
